Age;Height_cm;Weight_kg;Position;Training_Hours_Per_Week;Matches_Played_Past_Season;Previous_Injury_Count;Knee_Strength_Score;Hamstring_Flexibility;Reaction_Time_ms;Balance_Test_Score;Sprint_Speed_10m_s;Agility_Score;Sleep_Hours_Per_Night;Stress_Level_Score;Nutrition_Quality_Score;Warmup_Routine_Adherence;BMI
20;174;66;Forward;16.125;21;8;78.833;85.158;199.563;95.657;5.185;64.206;7.477;50.427;87.341;1;21.799
21;194;83;Forward;8.188;30;8;82.86;79.047;265.335;88.562;6.892;61.652;9.366;64.988;51.949;1;22.053
22;178;78;Forward;15.434;31;4;76.568;86.682;251.942;98.086;4.986;91.794;9.728;22.523;99.07;0;24.618
24;160;81;Goalkeeper;14.078;17;0;88.088;74.871;203.787;63.072;6.646;61.053;8.859;21.721;64.778;0;31.641
24;198;76;Defender;8.318;16;1;74.276;83.052;181.389;96.467;6.476;54.388;7.62;56.49;52.779;0;19.386
24;182;88;Forward;17.495;27;6;72.547;67.223;296.469;75.298;6.8;53.736;9.523;34.209;57.375;0;26.567
21;175;83;Forward;7.26;34;2;88.222;96.556;204.519;62.224;5.329;90.122;5.48;25.348;56.729;1;27.102
21;162;58;Goalkeeper;16.821;9;5;92.953;84.851;248.681;90.767;6.076;67.921;5.533;34.077;51.591;0;22.1
22;192;76;Forward;8.253;11;8;63.974;93.805;207.414;63.871;5.71;83.494;6.068;79.777;64.42;0;20.616
21;180;73;Defender;6.885;38;3;61.052;89.001;213.195;86.688;5.342;62.188;5.629;81.149;67.963;0;22.531
